cell,treatment,voltage,current,croot
cell c,BL,-80,-139.2,-5.182584738
cell c,BL,-60,-65.1,-4.022786613
cell c,BL,-40,33,3.20753433
cell c,BL,-20,146,5.265637428
cell c,BL,0,299.8,6.692841541
cell d,BL,-80,-230.1,-6.127813507
cell d,BL,-60,-126.9,-5.025206051
cell d,BL,-40,35.5,3.286569226
cell d,BL,-20,65.8,4.03715383
cell d,BL,0,124.5,4.993324425
cell d,PTX,-80,-24,-2.884499141
cell d,PTX,-60,-23.4,-2.860258506
cell d,PTX,-40,-9,-2.080083823
cell d,PTX,-20,17,2.571281591
cell d,PTX,0,47,3.60882608
cell e,BL,-80,-200.1,-5.849009987
cell e,BL,-60,-80,-4.30886938
cell e,BL,-40,38.1,3.364921925
cell e,BL,-20,147.8,5.287188708
cell e,BL,0,267.9,6.446503724
cell f,BL,-80,-124.9,-4.998666311
cell f,BL,-60,-58.8,-3.88859257
cell f,BL,-40,22.4,2.818919493
cell f,BL,-20,94.9,4.561301055
cell f,BL,0,159,5.417501515
cell f,PTX,-80,-27.2,-3.007389192
cell f,PTX,-60,-14.6,-2.444092389
cell f,PTX,-40,-11.7,-2.270188681
cell f,PTX,-20,14.2,2.42156491
cell f,PTX,0,21.2,2.767655007
cell g,BL,-80,-512.7,-8.003644173
cell g,BL,-60,-229.6,-6.123371773
cell g,BL,-40,78.3,4.278129441
cell g,BL,-20,400.7,7.372358529
cell g,BL,0,721.3,8.968200533
cell g,PTX,-80,-63,-3.979057208
cell g,PTX,-60,-39.4,-3.402765915
cell g,PTX,-40,19,2.668401649
cell g,PTX,-20,69.3,4.107501634
cell g,PTX,0,149,5.301459192
cell h,BL,-80,-169.6,-5.535310015
cell h,BL,-60,-77.6,-4.265342471
cell h,BL,-40,43.6,3.519617727
cell h,BL,-20,161.9,5.450239868
cell h,BL,0,220.9,6.045031551
cell h,PTX,-80,-26,-2.962496068
cell h,PTX,-60,-18.2,-2.630412114
cell h,PTX,-40,10.7,2.203575453
cell h,PTX,-20,16.2,2.530297996
cell h,PTX,0,27.1,3.003699141
