cell,treatment,amplitude,internal
07142023a,control,66,CsGlc
07142023a,FSK,93.1,CsGlc
07182023a,control,117.4,CsGlc
07182023a,FSK,160.3,CsGlc
07182023b,control,140,CsGlc
07182023b,FSK,163,CsGlc
07182023c,control,260.2,CsGlc
07182023c,FSK,342.3,CsGlc
07182023d,control,82.3,CsGlc
07182023d,FSK,98.6,CsGlc
07182023f,control,187,CsGlc
07182023f,FSK,228.5,CsGlc
07262023a,control,163.6,CsGlc
07262023a,FSK,240.4,CsGlc
07182023e,control,281.8,KT5720
07182023e,FSK,290.9,KT5720
07262023b,control,147.1,KT5720
07262023b,FSK,140.8,KT5720
07262023c,control,337.5,KT5720
07262023c,FSK,350.1,KT5720
07272023a,control,141.6,KT5720
07272023a,FSK,153.4,KT5720
07262023b,control,126.3,KT5720
07262023b,FSK,130.5,KT5720
