cell,treatment,amplitude,washout
06242021a,control,159.5,yes
06242021a,morphine,155.84,yes
06242021a,washout,177.24,yes
06172021b,control,379.83,yes
06172021b,morphine,375.52,yes
06172021b,washout,354.22,yes
06152021b,control,112,yes
06152021b,morphine,116.4,yes
06152021b,washout,123,yes
04252023a,control,459.23,yes
04252023a,morphine,453.53,yes
04252023a,washout,439.94,yes
04252023b,control,412.31,yes
04252023b,morphine,445.05,yes
04252023b,washout,461.79,yes
04252023c,control,89.05,yes
04252023c,morphine,90.14,yes
04252023c,washout,89.75,yes
04252023d,control,356.7,no
04252023d,morphine,335.81,no
06152021a,control,286.42,no
06152021a,morphine,284.61,no
